cliente,total_gasto,ticket_medio,frequencia_compras,segmento
Cliente_015,82964.76000000001,10370.595000000001,8,Ouro
Cliente_035,75402.52,10771.788571428571,7,Ouro
Cliente_048,62293.77,12458.753999999999,5,Ouro
Cliente_024,57381.21,7172.65125,8,Ouro
Cliente_006,50249.740000000005,8374.956666666667,6,Ouro
Cliente_004,50106.56,10021.312,5,Ouro
Cliente_032,45532.0,11383.0,4,Ouro
Cliente_044,43513.88,7252.313333333333,6,Ouro
Cliente_016,42754.07,8550.814,5,Ouro
Cliente_017,41983.05,10495.7625,4,Ouro
Cliente_030,40286.060000000005,10071.515000000001,4,Ouro
Cliente_023,39687.91,9921.9775,4,Ouro
Cliente_028,37523.1,12507.699999999999,3,Ouro
Cliente_039,34473.76,8618.44,4,Ouro
Cliente_005,33597.8,5599.633333333334,6,Ouro
Cliente_029,32249.690000000002,6449.938,5,Ouro
Cliente_022,31234.39,10411.463333333333,3,Ouro
Cliente_021,30646.51,3830.81375,8,Ouro
Cliente_043,24791.010000000002,4131.835,6,Ouro
Cliente_002,24005.600000000002,8001.866666666668,3,Ouro
Cliente_045,23946.48,4789.296,5,Ouro
Cliente_046,23702.879999999997,7900.959999999999,3,Ouro
Cliente_001,22464.64,5616.16,4,Ouro
Cliente_042,21768.86,5442.215,4,Ouro
Cliente_047,21011.84,7003.946666666667,3,Ouro
Cliente_018,20151.72,6717.240000000001,3,Ouro
Cliente_026,19532.879999999997,6510.959999999999,3,Ouro
Cliente_014,16432.94,5477.6466666666665,3,Ouro
Cliente_037,15955.06,5318.3533333333335,3,Ouro
Cliente_036,15344.219999999998,3836.0549999999994,4,Ouro
Cliente_007,14507.439999999999,2417.9066666666663,6,Prata
Cliente_011,14371.66,7185.83,2,Prata
Cliente_025,14327.01,4775.67,3,Prata
Cliente_041,14174.79,7087.395,2,Prata
Cliente_033,13812.050000000001,4604.016666666667,3,Prata
Cliente_008,12996.25,4332.083333333333,3,Prata
Cliente_027,12819.47,4273.156666666667,3,Prata
Cliente_020,10974.529999999999,10974.529999999999,1,Prata
Cliente_019,10238.57,3412.8566666666666,3,Prata
Cliente_003,10071.279999999999,3357.093333333333,3,Prata
Cliente_040,8618.6,4309.3,2,Prata
Cliente_050,3933.3,3933.3,1,Bronze
Cliente_010,3694.54,1847.27,2,Bronze
Cliente_013,3684.98,3684.98,1,Bronze
Cliente_009,1896.0,1896.0,1,Bronze
Cliente_049,1337.52,668.76,2,Bronze
Cliente_031,935.8499999999999,935.8499999999999,1,Bronze
Cliente_034,280.44,280.44,1,Bronze
Cliente_038,269.73,269.73,1,Bronze
